epoch,10,11,12,13___Tail,1___Head,2,3,4,5,6,7___Midpoint,8,9,loss,lr,ohkm,val_10,val_11,val_12,val_13___Tail,val_1___Head,val_2,val_3,val_4,val_5,val_6,val_7___Midpoint,val_8,val_9,val_loss,val_ohkm
0,0.0019148342544212937,0.0019224710995331407,0.0019332420779392123,0.0019403245532885194,0.001933664781972766,0.001929188845679164,0.0019186482531949878,0.0019163915421813726,0.0019180543022230268,0.0019164724508300424,0.0019139274954795837,0.0019120408687740564,0.0019104514503851533,0.011587998829782009,1e-04,0.009666485711932182,0.0018383900169283152,0.001873256522230804,0.001908673089928925,0.001944085001014173,0.0019165725680068135,0.0019078511977568269,0.001862019533291459,0.0018441275460645556,0.001858559437096119,0.0018549718661233783,0.0018342514522373676,0.0018385655712336302,0.0018381188856437802,0.011382190510630608,0.009511464275419712
1,0.001783303334377706,0.001835297211073339,0.001876506838016212,0.0019248323515057564,0.00192203966435045,0.001885776873677969,0.001832038862630725,0.0017957978416234255,0.0017787724500522017,0.0017622018931433558,0.0017387380357831717,0.0017246596980839968,0.0017344439402222633,0.01117641944438219,1e-04,0.009361466392874718,0.0017623523017391562,0.0017858606297522783,0.0018303781980648637,0.0019156137714162469,0.0019004758214578032,0.0018442602595314384,0.0017715614521875978,0.0017731584375724196,0.001764887128956616,0.0017337854951620102,0.0016903738724067807,0.001677182037383318,0.0016845945501700044,0.010982207953929901,0.009202632121741772
2,0.0017033371841534972,0.001706486102193594,0.0017409457359462976,0.00183073990046978,0.0018618301255628467,0.001746988738887012,0.0016852853586897254,0.0016985592665150762,0.0016632997430860996,0.0016150930896401405,0.0015948483487591147,0.001586419646628201,0.0016541689401492476,0.010557613335549831,1e-04,0.008858541958034039,0.0016217619413509965,0.0016597206704318523,0.0016644449206069112,0.0017248819349333644,0.0018036755500361323,0.001646016607992351,0.0016095273895189166,0.001607521204277873,0.0015804532449692488,0.001524898805655539,0.0015274457400664687,0.0015076185809448361,0.0016212097834795713,0.010157536715269089,0.008534523658454418
3,0.00155013392213732,0.0016062967479228973,0.001623024931177497,0.001690934062935412,0.0017640914302319288,0.001617994043044746,0.0015841092681512237,0.0015675561735406518,0.0015570723917335272,0.0014701727777719498,0.0014428043505176902,0.0014523915015161037,0.001555734546855092,0.009887423366308212,1e-04,0.008311856538057327,0.0015278250211849809,0.0016214444767683744,0.001601514290086925,0.0016300014685839415,0.0016997348284348845,0.0015862659784033895,0.0015727709978818893,0.001528445165604353,0.0014687598450109363,0.0014245117781683803,0.0013826414942741394,0.001406433410011232,0.0014967797324061394,0.009662756696343422,0.008128361776471138
4,0.0014568375190719962,0.0015208277618512511,0.0015244517708197236,0.0015988019295036793,0.0016715375240892172,0.0015203276416286826,0.0015092251123860478,0.0014757881872355938,0.0014424670953303576,0.0013751256046816707,0.0013388358056545258,0.0013803686015307903,0.001459162449464202,0.00935821607708931,1e-04,0.007875613868236542,0.0013896877644583583,0.0014604186872020364,0.001458968035876751,0.0015446296893060207,0.0016434750286862254,0.0014746267115697265,0.0014641628367826343,0.0014099916443228722,0.0013535572215914726,0.001310775289312005,0.0012689055874943733,0.0013187344884499907,0.0013647450832650065,0.009029317647218704,0.007609110325574875
5,0.001384163275361061,0.0014468854060396552,0.0014570553321391344,0.00153503124602139,0.0016002047341316938,0.0014339493354782462,0.0014307871460914612,0.0014045254793018103,0.0013256109086796641,0.0012926071649417281,0.0012519251322373748,0.001312796026468277,0.001362327137030661,0.008927027694880962,1e-04,0.0075241136364638805,0.0012956559658050537,0.0013673830544576049,0.001370818354189396,0.0014761725906282663,0.0015902906889095902,0.0014179456047713757,0.0013368130894377828,0.0013166706776246428,0.0011629904620349407,0.0012391938362270594,0.0012217406183481216,0.001269342377781868,0.0012634415179491043,0.008571339771151543,0.007238383870571852
6,0.0012283270480111241,0.0012872579973191023,0.0013286719331517816,0.0014748324174433947,0.001547170104458928,0.001345586497336626,0.0012619479093700647,0.0012372495839372277,0.0011633324902504683,0.0011883600382134318,0.0011674007400870323,0.0012403406435623765,0.0012493252288550138,0.008315862156450748,1e-04,0.007029724773019552,0.0011201543966308236,0.0012101727770641446,0.001300250762142241,0.0014697383157908916,0.0014754771254956722,0.0012930858647450805,0.0011367544066160917,0.0011377708287909627,0.0010253465734422207,0.0011933607747778296,0.0011419212678447366,0.0011534892255440354,0.0011182451853528619,0.007962171919643879,0.006748650688678026
7,0.0011313807917758822,0.0011775951134040952,0.0012033330276608467,0.001360956346616149,0.0014231298118829727,0.0012115759309381247,0.0011385874822735786,0.0010953722521662712,0.0010693707736209035,0.0010758425341919065,0.0010560235241428018,0.0011221792083233595,0.0011368741979822516,0.007626475300639868,1e-04,0.006457075942307711,0.0011266758665442467,0.0011703615309670568,0.001170485746115446,0.0013201283290982246,0.0013968903804197907,0.0011750520206987858,0.0010512775043025613,0.001049824757501483,0.0010312199592590332,0.0010825241915881634,0.0010583791881799698,0.0010951485019177198,0.0011322825448587537,0.0074380808509886265,0.006294985767453909
8,0.001033657230436802,0.0010810818057507277,0.0011124713346362114,0.0012527060462161899,0.0013115484034642577,0.0011168380733579397,0.0010389136150479317,0.0010000707115978003,0.0009897643467411399,0.0009890641085803509,0.0009492762619629502,0.0010119749931618571,0.001035350956954062,0.007027861196547747,1e-04,0.005956882145255804,0.001028354512527585,0.0010813964763656259,0.0011075345100834966,0.0012310772435739636,0.001292856759391725,0.0010869945399463177,0.0009748971206136048,0.0009749215678311884,0.0009641695069149137,0.0010020325426012278,0.0009439688292331994,0.0009726242860779166,0.0010084008099511266,0.006863011978566647,0.005811532959342003
9,0.000989820808172226,0.0010364785557612777,0.0010630815522745252,0.001180845545604825,0.0012304031988605857,0.0010573369218036532,0.0009892195230349898,0.0009494019323028624,0.0009335434879176319,0.0009290362359024584,0.0008640944724902511,0.0009446304175071418,0.0009764651767909527,0.006651506293565035,1e-04,0.005640403833240271,0.0009551981347613037,0.0010004255454987288,0.0010432812850922346,0.0011616299161687493,0.0013021552003920078,0.0010880541522055864,0.000992423272691667,0.0009426872711628675,0.0009385940502397716,0.0009412153158336878,0.0008761122007854283,0.0009147485834546387,0.0009406267781741917,0.006666288245469332,0.005658813286572695
10,0.00098765071015805,0.0010298857232555747,0.001064474112354219,0.0011753500439226627,0.0012346836738288403,0.00106897356454283,0.001001492259092629,0.0009556145523674786,0.0009386117453686893,0.000916364137083292,0.0008412887109443545,0.0009381042327731848,0.0009775847429409623,0.006647688336670399,1e-04,0.005637684371322393,0.000965924235060811,0.0010364139452576637,0.0010146877029910684,0.001127003924921155,0.0011955630034208298,0.0010136672062799335,0.0009559937752783298,0.0009459558059461415,0.0009002370061352849,0.0008552222279831767,0.0008201017044484615,0.0008499316754750907,0.0009179670014418662,0.00640516635030508,0.005436039064079523
11,0.000947769614867866,0.000982755096629262,0.0010141556849703193,0.0011191332014277577,0.0011725705116987228,0.0010155350901186466,0.000957423122599721,0.0009224273380823433,0.0009078412549570203,0.0008827808196656406,0.0007835361175239086,0.0009069379884749651,0.0009419111302122474,0.006370957940816879,1e-04,0.00540520716458559,0.000981594668701291,0.0010276447283104062,0.0010276476386934519,0.0011540891136974096,0.0012121699983254075,0.0010315208928659558,0.0009689704747870564,0.0009615306043997407,0.0009372635977342725,0.0008914039935916662,0.0008283377392217517,0.0009216546313837171,0.0009604032966308296,0.006555942818522453,0.005563307553529739
12,0.0009288382134400308,0.000964587670750916,0.0010034468723461032,0.0011098324321210384,0.0011369518470019102,0.001001718919724226,0.0009430478676222265,0.0009030101355165243,0.000883940898347646,0.0008526059682480991,0.0007572086178697646,0.000878971244674176,0.0009203459485433996,0.006248716730624437,1e-04,0.0053037540055811405,0.0009323371923528612,0.0009735400672070682,0.0010089066345244646,0.0011300338665023446,0.0011368540581315756,0.0009888752829283476,0.0009280859958380461,0.0009182123467326164,0.0008671931573189795,0.0008420412195846438,0.0007733823731541634,0.0008484499994665384,0.0009004847379401326,0.006272908300161362,0.005330723710358143
13,0.0008812969899736345,0.000921044556889683,0.0009613168076612055,0.0010670634219422936,0.001104250899516046,0.0009617619798518717,0.000902513274922967,0.0008651367970742285,0.0008481320692226291,0.0008187845814973116,0.0007207486196421087,0.0008389808353967965,0.0008713419665582478,0.00598654430359602,1e-04,0.005081743933260441,0.0009087271755561233,0.0009916441049426794,0.0010013305582106113,0.001109532779082656,0.0010824979981407523,0.0009534842683933675,0.0008870886522345245,0.0008591274963691831,0.0008370658615604043,0.0008088158210739493,0.0007745432085357606,0.0008157773991115391,0.0008609641809016466,0.0060889204032719135,0.005174259189516306
14,0.0009024899918586016,0.0009377097012475133,0.0009739099768921733,0.0010811327956616879,0.0011021611280739307,0.0009707082062959671,0.0009149581892415881,0.0008727618842385709,0.0008473503985442221,0.0008042916306294501,0.0006988768582232296,0.0008352551958523691,0.0008816380868665874,0.006031613796949387,1e-04,0.005122135393321514,0.0009673796594142914,0.00101677724160254,0.001031014253385365,0.0011263767955824733,0.0011718353489413857,0.0010089167626574636,0.0009513290715403855,0.0009394096559844911,0.000911147624719888,0.0008602440939284861,0.000786182819865644,0.0008530514314770699,0.0009231177973560989,0.006411598064005375,0.005446460098028183
15,0.0008806631667539477,0.0009133691200986505,0.0009466300834901631,0.0010485992534086108,0.001070939120836556,0.000936176918912679,0.000884170294739306,0.0008442230173386633,0.0008287794189527631,0.0007994165644049644,0.0006818810943514109,0.0008200769079849124,0.0008555350359529257,0.005883541889488697,1e-04,0.004998123273253441,0.0008721920312382281,0.0009066292550414801,0.0009380952105857432,0.0010649266187101603,0.0010660752886906266,0.0008993275696411729,0.0008706109947524965,0.0008478315430693328,0.0008154402603395283,0.000734026834834367,0.0006936141289770603,0.0007559711229987442,0.0008482488919980824,0.005764026194810867,0.00489379744976759
16,0.0008691204129718244,0.0009058413561433554,0.0009516156860627234,0.0010518745984882116,0.001054538181051612,0.0009160267654806376,0.0008755053277127445,0.0008403162355534732,0.0008139475830830634,0.0007748763891868293,0.00067440967541188,0.0007930852007120848,0.0008472881745547056,0.005801634397357702,1e-04,0.004927138332277536,0.0008708594250492752,0.0009087658836506307,0.0009243771783076227,0.0010423868661746383,0.001089187222532928,0.0009249027352780104,0.0008673464180901647,0.0008440545643679798,0.0008345338865183294,0.0007637462695129216,0.0007202677661553025,0.0007812722469680011,0.0008538757101632655,0.00583595409989357,0.004957064054906368
17,0.0008803143864497542,0.0009153281571343541,0.0009516211575828493,0.0010437899036332965,0.0010522223310545087,0.0009343731799162924,0.0008870208403095603,0.0008455687202513218,0.0008181915036402643,0.0007736107800155878,0.0006519256276078522,0.0007883412763476372,0.0008504895959049463,0.00582306319847703,1e-04,0.004946689121425152,0.0008104621083475649,0.0008707489469088614,0.0008816869813017547,0.0009948622900992632,0.001013946020975709,0.0008708134409971535,0.000841599830891937,0.0008086841553449631,0.0007625282160006464,0.0007255094242282212,0.0006811855710111558,0.0007488877745345235,0.0007803578046150506,0.0055342502892017365,0.00470415223389864
18,0.0008596660918556154,0.0008959580445662141,0.0009333724156022072,0.0010287583572790027,0.0010417269077152014,0.0009193109581246972,0.0008764787926338613,0.0008414494805037975,0.00081642996519804,0.0007710703066550195,0.0006498511065728962,0.0007850362453609705,0.0008398570353165269,0.005750379990786314,1e-04,0.0048843007534742355,0.0008853285107761621,0.0009367425227537751,0.0009472892270423472,0.0010350210359320045,0.0010327311465516686,0.0009154214058071375,0.0008754596929065883,0.0008597231935709715,0.0008304364164359868,0.0007663194555789232,0.0007003002101555467,0.0007810903480276465,0.0008410490700043738,0.005793632473796606,0.0049161771312355995
19,0.0008452595211565495,0.0008720961632207036,0.0009038751595653594,0.000999466865323484,0.0010281746508553624,0.0009007289772853255,0.0008523768628947437,0.0008169550565071404,0.0007877613534219563,0.0007465917733497918,0.0006293235928751528,0.0007661865674890578,0.0008227692451328039,0.005622610449790955,1e-04,0.004778645467013121,0.0008578429115004838,0.0009503107867203653,0.0009644348756410182,0.0010551275918260217,0.0010375127894803882,0.0009071422973647714,0.0008934322977438569,0.0008596926927566528,0.0007896049646660686,0.0007124987314455211,0.0006428560009226203,0.0007371791871264577,0.0008064651628956199,0.0057904962450265884,0.004927873611450195
20,0.0008566192118450999,0.0008914738427847624,0.0009244837565347552,0.0010225367732346058,0.0010368915973231196,0.0009232511511072516,0.0008730464614927769,0.0008288471726700664,0.0007950562285259366,0.0007544881664216518,0.0006342204287648201,0.0007727302727289498,0.0008250457467511296,0.005699354689568281,1e-04,0.004842531867325306,0.0009105669450946152,0.0009607351385056973,0.0009827865287661552,0.0010882850037887692,0.0011127673787996173,0.0009826443856582046,0.0009356922819279134,0.0009109654347412288,0.0008802181109786034,0.000805546878837049,0.000708739913534373,0.0008089785114862025,0.0008691613911651075,0.0060504768043756485,0.005130701698362827
21,0.0008064534049481153,0.0008398088975809515,0.000884916284121573,0.0009822549764066935,0.0009744199342094362,0.0008609012002125382,0.0008237657602876425,0.0007821717299520969,0.0007517249905504286,0.0007065676618367434,0.0006000311113893986,0.0007244833395816386,0.0007772641256451607,0.005401941481977701,1e-04,0.004593112040311098,0.0008423603139817715,0.0008997960248962045,0.0009461237350478768,0.0010208743624389172,0.0010120877996087074,0.000906590314116329,0.0008692893898114562,0.0008307471289299428,0.0007860929472371936,0.0007554661715403199,0.0006461757002398372,0.0007684926385991275,0.0008081333362497389,0.005711160134524107,0.004857911262661219
22,0.0008230686653405428,0.0008540884009562433,0.000896985933650285,0.0009866169421002269,0.0010008560493588448,0.000890198047272861,0.0008437266806140542,0.0007943967939354479,0.0007664129952900112,0.0007243442232720554,0.0006045970367267728,0.000742423755582422,0.0007929865969344974,0.005502911284565926,1e-04,0.004678243305534124,0.0007785613997839391,0.0008201210875995457,0.0008508312748745084,0.0009607449756003916,0.0010107026901096106,0.0008596243569627404,0.0008282887865789235,0.0007921078940853477,0.0007997458451427519,0.0007295006653293967,0.0006204609526321292,0.0007181714754551649,0.0007696703542023897,0.005427901167422533,0.004617244936525822
23,0.0007973278407007456,0.0008324977243319154,0.0008692777482792735,0.0009637271868996322,0.0009669981081970036,0.0008603853057138622,0.0008206212660297751,0.0007716499385423958,0.0007418864406645298,0.0006928819930180907,0.0005797878839075565,0.0007154829800128937,0.0007730628713034093,0.0053174723871052265,1e-04,0.004518578294664621,0.0008566397591494024,0.000910310132894665,0.0009116291766986251,0.0010006820084527135,0.0010243208380416036,0.0009077354334294796,0.0008675040444359183,0.0008572829538024962,0.0008173359092324972,0.0007565358537249267,0.0006328372401185334,0.0007042414508759975,0.0008148502092808485,0.005685476120561361,0.00483455928042531
24,0.0007994996849447489,0.0008321841596625745,0.0008700313628651202,0.0009655851172283292,0.0009724186966195703,0.0008577624103054404,0.0008142460137605667,0.0007731217774562538,0.0007437423337250948,0.000703668047208339,0.0005868157604709268,0.0007182136760093272,0.0007691301871091127,0.005333379376679659,1e-04,0.004532883409410715,0.0008650794625282288,0.0009240866056643426,0.0009405375458300114,0.0010294789681211114,0.0010415674187242985,0.0009465991170145571,0.0009000169229693711,0.0008728086249902844,0.0008173565147444606,0.0007526965928263962,0.0007096758345142007,0.0007692904327996075,0.0008386260597035289,0.005834128707647324,0.0049566044472157955
25,0.000779423164203763,0.0008090561022982001,0.000842828128952533,0.0009389931219629943,0.0009496230632066727,0.0008405465632677078,0.000798918423242867,0.0007603151025250554,0.0007278723060153425,0.0006834179512225091,0.0005556538235396147,0.0007013441645540297,0.0007493517477996647,0.0052106655202806,1e-04,0.004430871922522783,0.0008548193145543337,0.0009142164490185678,0.0009232392767444253,0.0010047482792288065,0.0009992412524297833,0.0008780260104686022,0.0008603309979662299,0.0008343114168383181,0.0008077689562924206,0.0007512220763601363,0.0006628780392929912,0.0007519182399846613,0.0008155491668730974,0.005687093362212181,0.004836458247154951
26,0.0007805206114426255,0.0008119665435515344,0.0008534803637303412,0.000942802638746798,0.0009583529317751527,0.0008436360512860119,0.0008024747367016971,0.0007628240855410695,0.0007303968304768205,0.0006819627596996725,0.0005653991247527301,0.0006943400367163122,0.000749689235817641,0.005219914484769106,1e-04,0.004437006078660488,0.0007960350485518575,0.0008341420907527208,0.0008403412066400051,0.0009443078306503594,0.0009653141023591161,0.0008153227972798049,0.0007935965550132096,0.0007684718002565205,0.0007200426189228892,0.0006766438600607216,0.0005997575935907662,0.000706633843947202,0.0007488409755751491,0.005255953874439001,0.004470612853765488
27,0.0007853296701796353,0.0008188460487872362,0.0008519231923855841,0.0009408001787960529,0.0009519035811536014,0.0008387638372369111,0.0007969125872477889,0.0007614465430378914,0.0007305018953047693,0.000679597957059741,0.0005621039890684187,0.0006945316563360393,0.0007491655414924026,0.005206459201872349,1e-04,0.004424781538546085,0.000771220657043159,0.0008253651321865618,0.000839537475258112,0.0009622888755984604,0.0010051177814602852,0.0008639004081487656,0.0008294549770653248,0.0007991698803380132,0.0007488402770832181,0.0006830104975961149,0.0006105778156779706,0.0007225344306789339,0.0007499080384150147,0.005387527402490377,0.0045866877771914005
28,0.0007840936887077987,0.0008123672450892627,0.000854270183481276,0.0009474357357248664,0.0009551644325256348,0.0008530715713277459,0.0008126650936901569,0.000772928586229682,0.0007386233774013817,0.0006815976230427623,0.0005685361684300005,0.0006864844472147524,0.0007499540806747973,0.005242064129561186,1e-04,0.004456128925085068,0.000798686349298805,0.0008558022673241794,0.0008933334029279649,0.0009881292935460806,0.0009712261380627751,0.0008471728069707751,0.0008230243693105876,0.0007945293909870088,0.0007475651800632477,0.0007054000161588192,0.0006405833410099149,0.0007080059731379151,0.0007489747367799282,0.005405171308666468,0.00459575280547142
